"trip_id","customer_id","driver_id","pickup_location","drop_location","customer_segment","driver_city","vehicle_type","rating","payment_type","discount","final_amount","trip_status","distance_km","fare","pickup_time","drop_time","trip_duration_min","realized_revenue"
"100000","4174","261","Gulshan","Gulshan","Regular","Dhaka","bike","4.3","cash","44.37","194.53","cancelled","10.86","238.90","2024-01-01 00:07:00","2024-01-01 00:22:00","15.0000000000000000","0"
"100001","4507","344","Mirpur","Gulshan","Regular","Dhaka","bike","3.7","cash","20.64","86.38","completed","4.64","107.02","2024-01-01 01:00:00","2024-01-01 01:27:00","27.0000000000000000","86.38"
"100002","1860","415","Banani","Banani","Regular","Dhaka","bike","4.6","wallet","17.20","429.79","completed","14.19","446.99","2024-01-01 02:14:00","2024-01-01 02:20:00","6.0000000000000000","429.79"
"100003","2294","202","Uttara","Banani","Regular","Dhaka","bike","4.9","wallet","25.31","180.40","cancelled","8.42","205.71","2024-01-01 03:17:00","2024-01-01 04:01:00","44.0000000000000000","0"
"100004","2130","359","Uttara","Dhanmondi","Regular","Dhaka","car","4.8","cash","3.07","253.79","completed","12.64","256.86","2024-01-01 04:04:00","2024-01-01 04:11:00","7.0000000000000000","253.79"
"100005","2095","319","Mirpur","Mirpur","Premium","Dhaka","car","4.6","cash","7.71","201.02","completed","6.11","208.73","2024-01-01 05:20:00","2024-01-01 06:19:00","59.0000000000000000","201.02"
"100006","4772","288","Mirpur","Uttara","Regular","Dhaka","car","4.8","cash","10.98","43.13","completed","2.40","54.11","2024-01-01 06:13:00","2024-01-01 07:10:00","57.0000000000000000","43.13"
"100007","4092","528","Uttara","Gulshan","Regular","Dhaka","bike","4.4","wallet","40.83","169.27","completed","10.43","210.10","2024-01-01 07:17:00","2024-01-01 07:56:00","39.0000000000000000","169.27"
"100008","2638","779","Banani","Banani","Regular","Dhaka","car","4.8","wallet","36.69","-10.54","completed","1.11","26.15","2024-01-01 08:00:00","2024-01-01 08:49:00","49.0000000000000000","-10.54"
"100009","3169","556","Gulshan","Uttara","Regular","Dhaka","car","4.0","cash","9.67","170.30","completed","7.65","179.97","2024-01-01 09:11:00","2024-01-01 09:39:00","28.0000000000000000","170.30"
"100010","1466","466","Mirpur","Mirpur","Regular","Dhaka","bike","3.9","wallet","13.84","83.58","completed","3.70","97.42","2024-01-01 10:21:00","2024-01-01 10:44:00","23.0000000000000000","83.58"
"100011","2238","522","Mirpur","Gulshan","Regular","Dhaka","bike","4.2","wallet","47.21","283.41","completed","9.78","330.62","2024-01-01 11:05:00","2024-01-01 11:27:00","22.0000000000000000","283.41"
"100012","1330","740","Mirpur","Gulshan","Regular","Dhaka","car","3.9","wallet","4.29","483.90","cancelled","14.71","488.19","2024-01-01 12:13:00","2024-01-01 13:06:00","53.0000000000000000","0"
"100013","2482","394","Dhanmondi","Mirpur","Premium","Dhaka","bike","4.9","wallet","27.37","174.03","completed","7.50","201.40","2024-01-01 13:24:00","2024-01-01 14:20:00","56.0000000000000000","174.03"
"100014","3135","531","Banani","Gulshan","Regular","Dhaka","car","3.7","cash","26.10","299.37","completed","12.44","325.47","2024-01-01 14:03:00","2024-01-01 14:31:00","28.0000000000000000","299.37"
"100015","4444","369","Banani","Mirpur","Premium","Dhaka","car","4.8","cash","36.29","193.43","completed","8.11","229.72","2024-01-01 15:23:00","2024-01-01 16:12:00","49.0000000000000000","193.43"
"100016","4171","720","Banani","Gulshan","Regular","Dhaka","car","4.5","wallet","13.07","174.73","completed","7.94","187.80","2024-01-01 16:20:00","2024-01-01 16:59:00","39.0000000000000000","174.73"
"100017","3919","662","Banani","Dhanmondi","Regular","Dhaka","car","3.8","cash","46.74","244.84","completed","14.03","291.58","2024-01-01 17:06:00","2024-01-01 17:11:00","5.0000000000000000","244.84"
"100018","4735","239","Banani","Mirpur","Premium","Dhaka","bike","4.4","cash","20.53","438.30","completed","13.46","458.83","2024-01-01 18:00:00","2024-01-01 18:49:00","49.0000000000000000","438.30"
"100019","1130","736","Uttara","Uttara","Regular","Dhaka","car","4.7","cash","14.29","259.32","completed","12.00","273.61","2024-01-01 19:08:00","2024-01-01 19:37:00","29.0000000000000000","259.32"
"100020","2685","460","Mirpur","Dhanmondi","Regular","Dhaka","car","4.7","card","16.84","101.49","completed","5.15","118.33","2024-01-01 20:15:00","2024-01-01 21:04:00","49.0000000000000000","101.49"
"100021","4380","594","Uttara","Uttara","Regular","Dhaka","bike","4.9","cash","17.44","216.32","completed","8.63","233.76","2024-01-01 21:24:00","2024-01-01 22:17:00","53.0000000000000000","216.32"
"100022","1769","425","Dhanmondi","Gulshan","Premium","Dhaka","bike","4.2","cash","9.95","103.11","completed","4.13","113.06","2024-01-01 22:04:00","2024-01-01 22:51:00","47.0000000000000000","103.11"
