Trip_ID,Customer_ID,Driver_ID,Request_Time,Pickup_Time,Drop_Time,Pickup_Location,Drop_Location,Distance_km,Fare,Trip_Status
100000,4174,261,2024-01-01 00:00:00,2024-01-01 00:07:00,2024-01-01 00:22:00,Gulshan,Gulshan,10.86,238.90263724665112,CANCELLED
100001,4507,344,2024-01-01 01:00:00,,2024-01-01 01:27:00,Mirpur,Gulshan,4.64,107.01682717997717,Completed
100002,1860,415,2024-01-01 02:00:00,2024-01-01 02:14:00,2024-01-01 02:20:00,Banani,Banani,14.19,446.9945799004497,Completed
100003,2294,202,2024-01-01 03:00:00,2024-01-01 03:17:00,2024-01-01 04:01:00,Uttara,Banani,8.42,205.7061155850698,Cancelled
100004,2130,359,2024-01-01 04:00:00,2024-01-01 04:04:00,2024-01-01 04:11:00,Uttara,Dhanmondi,12.64,256.85532532959513,Completed
100005,2095,319,2024-01-01 05:00:00,2024-01-01 05:20:00,2024-01-01 06:19:00,Mirpur,Mirpur,6.11,208.73358041529394,Completed
100006,4772,288,2024-01-01 06:00:00,2024-01-01 06:13:00,2024-01-01 07:10:00,Mirpur,Uttara,2.4,54.10968299021678,Completed
100007,4092,528,2024-01-01 07:00:00,2024-01-01 07:17:00,2024-01-01 07:56:00,Uttara,Gulshan,10.43,210.09537822286532,Completed
100008,2638,779,2024-01-01 08:00:00,,2024-01-01 08:49:00,Banani,Banani,1.11,26.14824117968233,Completed
100009,3169,556,2024-01-01 09:00:00,2024-01-01 09:11:00,2024-01-01 09:39:00,Gulshan,Uttara,7.65,179.96955332180585,completed
100010,1466,466,2024-01-01 10:00:00,2024-01-01 10:21:00,2024-01-01 10:44:00,Mirpur,Mirpur,3.7,97.42129142193762,Completed
100011,2238,522,2024-01-01 11:00:00,2024-01-01 11:05:00,2024-01-01 11:27:00,Mirpur,Gulshan,9.78,330.62118828105537,Completed
100012,1330,740,2024-01-01 12:00:00,2024-01-01 12:13:00,2024-01-01 13:06:00,Mirpur,Gulshan,14.71,488.192152107958,CANCELLED
100013,2482,394,2024-01-01 13:00:00,2024-01-01 13:24:00,2024-01-01 14:20:00,Dhanmondi,Mirpur,7.5,201.40063743552312,completed
100014,3135,531,2024-01-01 14:00:00,2024-01-01 14:03:00,2024-01-01 14:31:00,Banani,Gulshan,12.44,325.47392227147105,Completed
100015,4444,369,2024-01-01 15:00:00,2024-01-01 15:23:00,2024-01-01 16:12:00,Banani,Mirpur,8.11,229.71685536966564,Completed
